0.020272,1.019713
-0.982887,2.054166
-0.827676,1.638951
0.596325,1.287361
0.289416,1.127568
-0.429220,1.207155
-0.879846,1.766583
0.400010,1.140985
0.935192,1.891297
-0.357462,1.122835
0.500480,1.327282
-0.717307,1.520634
-0.331321,1.121314
-0.588117,1.299677
-0.597805,1.358035
-0.034671,1.014566
0.235868,0.968986
-0.626353,1.396471
0.547891,1.312413
-0.842669,1.714989
-0.651469,1.441607
0.835475,1.677351
0.710989,1.464407
0.386467,1.101665
-0.346081,1.039018
-0.014985,1.038561
-0.777399,1.627514
0.217702,1.031296
-0.302979,1.115130
0.747832,1.558129
